,Name,place_id,Address,Coordinates,business_status,types,delivery,dine_in,takeout,price_level,rating,user_ratings_total,serves_breakfast,serves_brunch,serves_lunch,serves_dinner,serves_vegetarian_food,serves_beer,serves_wine,business_hours,business_hours_text
265,Walmart Auto Care Centers,ChIJ6cZj7UCcP4YRywEvV3RPWXQ,"6702 Seawall Boulevard, Galveston","{'lat': 29.2651472, 'lng': -94.8329455}",OPERATIONAL,"['car_repair', 'point_of_interest', 'store', 'establishment']",,,,1.0,3.1,89.0,,,,,,,,"[{'close': {'day': 0, 'time': '1800'}, 'open': {'day': 0, 'time': '0800'}}, {'close': {'day': 1, 'time': '1900'}, 'open': {'day': 1, 'time': '0700'}}, {'close': {'day': 2, 'time': '1900'}, 'open': {'day': 2, 'time': '0700'}}, {'close': {'day': 3, 'time': '1900'}, 'open': {'day': 3, 'time': '0700'}}, {'close': {'day': 4, 'time': '1900'}, 'open': {'day': 4, 'time': '0700'}}, {'close': {'day': 5, 'time': '1900'}, 'open': {'day': 5, 'time': '0700'}}, {'close': {'day': 6, 'time': '1900'}, 'open': {'day': 6, 'time': '0700'}}]","['Monday: 7:00\u202fAM\u2009–\u20097:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20097:00\u202fPM', 'Saturday: 7:00\u202fAM\u2009–\u20097:00\u202fPM', 'Sunday: 8:00\u202fAM\u2009–\u20096:00\u202fPM']"
266,Comfort Inn & Suites Beachfront,ChIJlSuO5z6cP4YRUhFaEko6iW4,"6302 Seawall Boulevard, Galveston","{'lat': 29.266316, 'lng': -94.828926}",OPERATIONAL,"['lodging', 'point_of_interest', 'establishment']",,,,,3.5,963.0,,,,,,,,,
267,Bowlero Texas City,ChIJqyGKIaJ5P4YRf1EPSdwXqBU,"2404 Palmer Highway, Texas City","{'lat': 29.395144, 'lng': -94.92949999999999}",OPERATIONAL,"['bowling_alley', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",,,,,4.3,416.0,,,,,,,,,
268,Texas Entertainment Xperience,ChIJDbU0flB_P4YRY-kXwGSdxvQ,"10000 Emmett F Lowry Expressway Suite 3161, Texas City","{'lat': 29.4051282, 'lng': -95.0231881}",CLOSED_TEMPORARILY,"['bowling_alley', 'bar', 'point_of_interest', 'establishment']",,,,,4.1,110.0,,,,,,,,,
269,Scholes International Airport,ChIJ2zGVL_KcP4YRi-_i6dFG-Ik,"2115 Terminal Drive, Galveston","{'lat': 29.26820749999999, 'lng': -94.8552093}",OPERATIONAL,"['airport', 'point_of_interest', 'establishment']",,,,,4.7,36.0,,,,,,,,"[{'open': {'day': 0, 'time': '0000'}}]","['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']"
270,Shell Pelican Island Heliport,ChIJBdQCEyOeP4YR_Ry9JwurrT8,Galveston,"{'lat': 29.3227361, 'lng': -94.7868622}",OPERATIONAL,"['airport', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,,
271,Westwind Helicopters Inc,ChIJKQJ2yP9_QIYR140K_orNtAE,"8426 Farm to Market 2004, Santa Fe","{'lat': 29.32361789999999, 'lng': -95.0603103}",OPERATIONAL,"['airport', 'point_of_interest', 'establishment']",,,,,4.6,8.0,,,,,,,,,
272,Airport Control Tower,ChIJ_7_ePRWdP4YRPoquvu1aJjc,"8710 Cessna Drive, Galveston","{'lat': 29.263134, 'lng': -94.8562417}",OPERATIONAL,"['airport', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,,
273,Island Jet Center,ChIJUQ4O_jidP4YRng5QkQ0iBcM,"2115 Terminal Drive, Galveston","{'lat': 29.2681865, 'lng': -94.8553451}",OPERATIONAL,"['airport', 'point_of_interest', 'establishment']",,,,,4.7,13.0,,,,,,,,"[{'close': {'day': 0, 'time': '1800'}, 'open': {'day': 0, 'time': '0800'}}, {'close': {'day': 1, 'time': '1800'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '1800'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '1800'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '1800'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '1800'}, 'open': {'day': 5, 'time': '0800'}}, {'close': {'day': 6, 'time': '1800'}, 'open': {'day': 6, 'time': '0800'}}]","['Monday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Sunday: 8:00\u202fAM\u2009–\u20096:00\u202fPM']"
274,Johnnie Volk Field-37TE,ChIJhcv7cgV_P4YRYFGqJgEP2f0,Hitchcock,"{'lat': 29.360259, 'lng': -95.0088859}",OPERATIONAL,"['airport', 'point_of_interest', 'establishment']",,,,,4.7,3.0,,,,,,,,,
275,Galvestonian Heliport,ChIJXWgN8P2fP4YRiIXeL-UbnD4,Galveston,"{'lat': 29.33361109999999, 'lng': -94.73361109999999}",OPERATIONAL,"['airport', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,,
276,Houston Oil and Minerals Port Bolivar Heliport,ChIJw7aybVR0P4YR4ja6HTqnrow,Port Bolivar,"{'lat': 29.3832897, 'lng': -94.77352909999999}",OPERATIONAL,"['airport', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,,
277,Old Forker Ultralight Airport,ChIJOV2PLN9_QIYRWXK1TW8a9ho,Santa Fe,"{'lat': 29.3188472, 'lng': -95.0857611}",OPERATIONAL,"['airport', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,,
278,Houston Oil and Minerals Port Bolivar Number 2 Heliport,ChIJc47b__l0P4YRbRwjq2_LPTg,Port Bolivar,"{'lat': 29.39106719999999, 'lng': -94.7640844}",OPERATIONAL,"['airport', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,,
279,Moody Gardens,ChIJY47Vz1ecP4YR4hJNhlhX9AI,"1 Hope Boulevard, Galveston","{'lat': 29.272762, 'lng': -94.8525073}",OPERATIONAL,"['amusement_park', 'aquarium', 'tourist_attraction', 'zoo', 'park', 'point_of_interest', 'establishment']",,,,,4.4,15573.0,,,,,,,,"[{'close': {'day': 0, 'time': '1600'}, 'open': {'day': 0, 'time': '1000'}}, {'close': {'day': 1, 'time': '1600'}, 'open': {'day': 1, 'time': '1000'}}, {'close': {'day': 2, 'time': '1600'}, 'open': {'day': 2, 'time': '1000'}}, {'close': {'day': 3, 'time': '1600'}, 'open': {'day': 3, 'time': '1000'}}, {'close': {'day': 4, 'time': '1600'}, 'open': {'day': 4, 'time': '1000'}}, {'close': {'day': 5, 'time': '1600'}, 'open': {'day': 5, 'time': '1000'}}, {'close': {'day': 6, 'time': '1700'}, 'open': {'day': 6, 'time': '1000'}}]","['Monday: 10:00\u202fAM\u2009–\u20094:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20094:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20094:00\u202fPM']"
280,Galveston Island Historic Pleasure Pier,ChIJPdkEDmCeP4YRbbMJW29PWGE,"2501 Seawall Boulevard, Galveston","{'lat': 29.28752919999999, 'lng': -94.7902046}",OPERATIONAL,"['amusement_park', 'tourist_attraction', 'point_of_interest', 'establishment']",,,,,4.4,16678.0,,,,,,,,"[{'close': {'day': 0, 'time': '2000'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 5, 'time': '2100'}, 'open': {'day': 5, 'time': '1600'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '1200'}}]","['Monday: Closed', 'Tuesday: Closed', 'Wednesday: Closed', 'Thursday: Closed', 'Friday: 4:00\u2009–\u20099:00\u202fPM', 'Saturday: 12:00\u2009–\u200910:00\u202fPM', 'Sunday: 12:00\u2009–\u20098:00\u202fPM']"
281,Palm Beach At Moody Gardens,ChIJY47Vz1ecP4YRAsZJswJXWRs,"8928, 1 Hope Boulevard, Galveston","{'lat': 29.275732, 'lng': -94.850972}",OPERATIONAL,"['tourist_attraction', 'amusement_park', 'point_of_interest', 'establishment']",,,,,4.5,958.0,,,,,,,,"[{'close': {'day': 0, 'time': '1600'}, 'open': {'day': 0, 'time': '1000'}}, {'close': {'day': 1, 'time': '1600'}, 'open': {'day': 1, 'time': '1000'}}, {'close': {'day': 2, 'time': '1600'}, 'open': {'day': 2, 'time': '1000'}}, {'close': {'day': 3, 'time': '1600'}, 'open': {'day': 3, 'time': '1000'}}, {'close': {'day': 4, 'time': '1600'}, 'open': {'day': 4, 'time': '1000'}}, {'close': {'day': 5, 'time': '1600'}, 'open': {'day': 5, 'time': '1000'}}, {'close': {'day': 6, 'time': '1600'}, 'open': {'day': 6, 'time': '1000'}}]","['Monday: 10:00\u202fAM\u2009–\u20094:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20094:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20094:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20094:00\u202fPM']"
282,Schlitterbahn Waterpark Galveston,ChIJAUwm2_ecP4YRgYyjX6rC1mg,"2109 Gene Lucas Blvd, Galveston","{'lat': 29.2703671, 'lng': -94.85173689999999}",OPERATIONAL,"['amusement_park', 'point_of_interest', 'establishment']",,,,,4.3,4957.0,,,,,,,,"[{'close': {'day': 0, 'time': '1800'}, 'open': {'day': 0, 'time': '1100'}}, {'close': {'day': 6, 'time': '1800'}, 'open': {'day': 6, 'time': '1100'}}]","['Monday: Closed', 'Tuesday: Closed', 'Wednesday: Closed', 'Thursday: Closed', 'Friday: Closed', 'Saturday: 11:00\u202fAM\u2009–\u20096:00\u202fPM', 'Sunday: 11:00\u202fAM\u2009–\u20096:00\u202fPM']"
283,Rainforest Pyramid,ChIJxe0Yk1ecP4YRi-IoXuU5PpU,"1 Hope Boulevard, Galveston","{'lat': 29.27549299999999, 'lng': -94.852722}",OPERATIONAL,"['aquarium', 'tourist_attraction', 'amusement_park', 'point_of_interest', 'establishment']",,,,,4.7,2724.0,,,,,,,,"[{'close': {'day': 0, 'time': '1600'}, 'open': {'day': 0, 'time': '1000'}}, {'close': {'day': 1, 'time': '1600'}, 'open': {'day': 1, 'time': '1000'}}, {'close': {'day': 2, 'time': '1600'}, 'open': {'day': 2, 'time': '1000'}}, {'close': {'day': 3, 'time': '1600'}, 'open': {'day': 3, 'time': '1000'}}, {'close': {'day': 4, 'time': '1600'}, 'open': {'day': 4, 'time': '1000'}}, {'close': {'day': 5, 'time': '1600'}, 'open': {'day': 5, 'time': '1000'}}, {'close': {'day': 6, 'time': '1700'}, 'open': {'day': 6, 'time': '1000'}}]","['Monday: 10:00\u202fAM\u2009–\u20094:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20094:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20094:00\u202fPM']"
284,Moody Gardens,ChIJY47Vz1ecP4YR4hJNhlhX9AI,"1 Hope Boulevard, Galveston","{'lat': 29.272762, 'lng': -94.8525073}",OPERATIONAL,"['amusement_park', 'tourist_attraction', 'zoo', 'aquarium', 'park', 'point_of_interest', 'establishment']",,,,,4.4,15573.0,,,,,,,,"[{'close': {'day': 0, 'time': '1600'}, 'open': {'day': 0, 'time': '1000'}}, {'close': {'day': 1, 'time': '1600'}, 'open': {'day': 1, 'time': '1000'}}, {'close': {'day': 2, 'time': '1600'}, 'open': {'day': 2, 'time': '1000'}}, {'close': {'day': 3, 'time': '1600'}, 'open': {'day': 3, 'time': '1000'}}, {'close': {'day': 4, 'time': '1600'}, 'open': {'day': 4, 'time': '1000'}}, {'close': {'day': 5, 'time': '1600'}, 'open': {'day': 5, 'time': '1000'}}, {'close': {'day': 6, 'time': '1700'}, 'open': {'day': 6, 'time': '1000'}}]","['Monday: 10:00\u202fAM\u2009–\u20094:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20094:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20094:00\u202fPM']"
285,Aquarium At Moody Gardens,ChIJPwCBj_icP4YR_Fn54MtnQuk,"1 Hope Boulevard, Galveston","{'lat': 29.2743695, 'lng': -94.8532372}",OPERATIONAL,"['aquarium', 'point_of_interest', 'establishment']",,,,,4.6,3522.0,,,,,,,,"[{'close': {'day': 0, 'time': '1600'}, 'open': {'day': 0, 'time': '1000'}}, {'close': {'day': 1, 'time': '1600'}, 'open': {'day': 1, 'time': '1000'}}, {'close': {'day': 2, 'time': '1600'}, 'open': {'day': 2, 'time': '1000'}}, {'close': {'day': 3, 'time': '1600'}, 'open': {'day': 3, 'time': '1000'}}, {'close': {'day': 4, 'time': '1600'}, 'open': {'day': 4, 'time': '1000'}}, {'close': {'day': 5, 'time': '1600'}, 'open': {'day': 5, 'time': '1000'}}, {'close': {'day': 6, 'time': '1600'}, 'open': {'day': 6, 'time': '1000'}}]","['Monday: 10:00\u202fAM\u2009–\u20094:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20094:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20094:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20094:00\u202fPM']"
286,Rainforest Pyramid,ChIJxe0Yk1ecP4YRi-IoXuU5PpU,"1 Hope Boulevard, Galveston","{'lat': 29.27549299999999, 'lng': -94.852722}",OPERATIONAL,"['aquarium', 'tourist_attraction', 'amusement_park', 'point_of_interest', 'establishment']",,,,,4.7,2724.0,,,,,,,,"[{'close': {'day': 0, 'time': '1600'}, 'open': {'day': 0, 'time': '1000'}}, {'close': {'day': 1, 'time': '1600'}, 'open': {'day': 1, 'time': '1000'}}, {'close': {'day': 2, 'time': '1600'}, 'open': {'day': 2, 'time': '1000'}}, {'close': {'day': 3, 'time': '1600'}, 'open': {'day': 3, 'time': '1000'}}, {'close': {'day': 4, 'time': '1600'}, 'open': {'day': 4, 'time': '1000'}}, {'close': {'day': 5, 'time': '1600'}, 'open': {'day': 5, 'time': '1000'}}, {'close': {'day': 6, 'time': '1700'}, 'open': {'day': 6, 'time': '1000'}}]","['Monday: 10:00\u202fAM\u2009–\u20094:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20094:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20094:00\u202fPM']"
287,HCA Houston Healthcare Mainland,ChIJ7adOBch-P4YRy2vLiFqmPvU,"6801 Emmett F Lowry Expressway, Texas City","{'lat': 29.3946557, 'lng': -94.9865762}",OPERATIONAL,"['hospital', 'point_of_interest', 'health', 'establishment']",,,,,3.7,669.0,,,,,,,,,
288,University General Hospital,ChIJT7KVe8d-P4YRWYeNn0Z5le0,"7111 Medical Center Drive, Texas City","{'lat': 29.3936434, 'lng': -94.9902163}",OPERATIONAL,"['hospital', 'point_of_interest', 'health', 'establishment']",,,,,5.0,5.0,,,,,,,,,
289,UTMB - Department of Ophthalmology,ChIJcxmGRkqeP4YRyC38wnPcAvg,"700 University Boulevard, Galveston","{'lat': 29.3076689, 'lng': -94.7730232}",OPERATIONAL,"['hospital', 'point_of_interest', 'health', 'establishment']",,,,,3.7,6.0,,,,,,,,"[{'close': {'day': 0, 'time': '1800'}, 'open': {'day': 0, 'time': '0800'}}, {'close': {'day': 1, 'time': '1800'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '1800'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '1800'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '1800'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '1800'}, 'open': {'day': 5, 'time': '0800'}}, {'close': {'day': 6, 'time': '1800'}, 'open': {'day': 6, 'time': '0800'}}]","['Monday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Sunday: 8:00\u202fAM\u2009–\u20096:00\u202fPM']"
290,Texas Department Criminal Justice Hospital,ChIJfZ-CczeeP4YRcdsPnmbsKG0,"809 Harborside Drive, Galveston","{'lat': 29.3124227, 'lng': -94.77788319999999}",OPERATIONAL,"['hospital', 'point_of_interest', 'health', 'establishment']",,,,,2.4,26.0,,,,,,,,,
291,Shriners Hospitals for Children,ChIJEVcF1jeeP4YRrE2Ay2TtPbc,"815 Market Street, Galveston","{'lat': 29.3093201, 'lng': -94.7770663}",OPERATIONAL,"['hospital', 'point_of_interest', 'health', 'establishment']",,,,,4.6,240.0,,,,,,,,"[{'open': {'day': 0, 'time': '0000'}}]","['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']"
292,UTMB Health Transplant Services - Galveston,ChIJUX_ZkzeeP4YRn1aDyDX0FVc,"1005 Harborside Drive f6, Galveston","{'lat': 29.311276, 'lng': -94.7786476}",OPERATIONAL,"['hospital', 'point_of_interest', 'health', 'establishment']",,,,,1.0,1.0,,,,,,,,"[{'close': {'day': 1, 'time': '1700'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '1700'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '1700'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '1700'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '1700'}, 'open': {'day': 5, 'time': '0800'}}]","['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
293,UTMB Health Blocker Burn Unit - Galveston,ChIJ6z33KzaeP4YRydYlk0xApCE,"712 Texas Avenue 2nd floor, Galveston","{'lat': 29.3114867, 'lng': -94.77805839999999}",OPERATIONAL,"['hospital', 'point_of_interest', 'health', 'establishment']",,,,,5.0,11.0,,,,,,,,"[{'open': {'day': 0, 'time': '0000'}}]","['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']"
294,John Sealy Hospital,ChIJ6z33KzaeP4YRyBqWpTOVS6I,"301 8th Street, Galveston","{'lat': 29.3107035, 'lng': -94.7772529}",OPERATIONAL,"['hospital', 'point_of_interest', 'health', 'establishment']",,,,,3.8,157.0,,,,,,,,"[{'open': {'day': 0, 'time': '0000'}}]","['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']"
295,UTMB Health Children's Hospital - Galveston,ChIJNRj3KzaeP4YRnzFNz7rbmI0,"301 8th Street floor, Galveston","{'lat': 29.3103147, 'lng': -94.7769086}",OPERATIONAL,"['hospital', 'point_of_interest', 'health', 'establishment']",,,,,,,,,,,,,,"[{'open': {'day': 0, 'time': '0000'}}]","['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']"
296,UTMB Health,ChIJ8cALvzeeP4YRLPh4UfvffEU,"301 University Boulevard, Galveston","{'lat': 29.3116372, 'lng': -94.7775436}",OPERATIONAL,"['hospital', 'point_of_interest', 'health', 'establishment']",,,,,3.5,210.0,,,,,,,,"[{'open': {'day': 0, 'time': '0000'}}]","['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']"
297,Rebecca Sealy Hospital,ChIJFYjnHzaeP4YRtbJyhOHmKw8,"404 Saint Marys Boulevard, Galveston","{'lat': 29.3099984, 'lng': -94.7758686}",OPERATIONAL,"['hospital', 'point_of_interest', 'health', 'establishment']",,,,,5.0,4.0,,,,,,,,"[{'open': {'day': 0, 'time': '0000'}}]","['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']"
298,UTMB Health Heart Station and Cardiac Catheterization Lab - Galveston,ChIJ6z33KzaeP4YRCkxEfVIXVYo,"712 Texas Avenue Suite 6.406, Galveston","{'lat': 29.3125358, 'lng': -94.7762743}",OPERATIONAL,"['hospital', 'point_of_interest', 'health', 'establishment']",,,,,5.0,1.0,,,,,,,,"[{'close': {'day': 1, 'time': '1700'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '1700'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '1700'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '1700'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '1700'}, 'open': {'day': 5, 'time': '0800'}}]","['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
299,Jennie Sealy Hospital,ChIJWw4CRjaeP4YREFVO1pZsZ8k,"712 Texas Avenue, Galveston","{'lat': 29.3125626, 'lng': -94.7760586}",OPERATIONAL,"['hospital', 'point_of_interest', 'health', 'establishment']",,,,,4.0,84.0,,,,,,,,"[{'open': {'day': 0, 'time': '0000'}}]","['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']"
300,UTMB Alumni Field House,ChIJ70oQpTWeP4YR-E0hsJ7Lv44,"301 Holiday Drive, Galveston","{'lat': 29.3121337, 'lng': -94.7730484}",OPERATIONAL,"['hospital', 'point_of_interest', 'health', 'establishment']",,,,,4.5,47.0,,,,,,,,"[{'close': {'day': 0, 'time': '2000'}, 'open': {'day': 0, 'time': '0700'}}, {'close': {'day': 1, 'time': '2300'}, 'open': {'day': 1, 'time': '0500'}}, {'close': {'day': 2, 'time': '2300'}, 'open': {'day': 2, 'time': '0500'}}, {'close': {'day': 3, 'time': '2300'}, 'open': {'day': 3, 'time': '0500'}}, {'close': {'day': 4, 'time': '2300'}, 'open': {'day': 4, 'time': '0500'}}, {'close': {'day': 5, 'time': '2100'}, 'open': {'day': 5, 'time': '0500'}}, {'close': {'day': 6, 'time': '2000'}, 'open': {'day': 6, 'time': '0700'}}]","['Monday: 5:00\u202fAM\u2009–\u200911:00\u202fPM', 'Tuesday: 5:00\u202fAM\u2009–\u200911:00\u202fPM', 'Wednesday: 5:00\u202fAM\u2009–\u200911:00\u202fPM', 'Thursday: 5:00\u202fAM\u2009–\u200911:00\u202fPM', 'Friday: 5:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 7:00\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: 7:00\u202fAM\u2009–\u20098:00\u202fPM']"
301,A Med Home Health,ChIJFS9SgtZ4P4YRPCUusYoNeYE,La Marque,"{'lat': 29.36856739999999, 'lng': -94.9713134}",OPERATIONAL,"['hospital', 'point_of_interest', 'health', 'establishment']",,,,,,,,,,,,,,,
302,DaVita Texas City PD,ChIJf-nkKVl-P4YR5R6EY-bsDGY,"13003 Delany Road, La Marque","{'lat': 29.3818376, 'lng': -95.0208612}",OPERATIONAL,"['hospital', 'point_of_interest', 'health', 'establishment']",,,,,,,,,,,,,,,
303,Galveston VA Clinic,ChIJzy-EzXieP4YRwlhwVJbJTVo,"3828 Ursuline Street, Galveston","{'lat': 29.2913593, 'lng': -94.8087826}",OPERATIONAL,"['hospital', 'point_of_interest', 'health', 'establishment']",,,,,3.7,15.0,,,,,,,,"[{'close': {'day': 1, 'time': '1630'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '1630'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '1630'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '1630'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '1630'}, 'open': {'day': 5, 'time': '0800'}}]","['Monday: 8:00\u202fAM\u2009–\u20094:30\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20094:30\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20094:30\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20094:30\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20094:30\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
